Business Age (years), Annual Revenue (RM), Credit Score, Loan Amount Requested (RM), Loan Term (months), Monthly Repayment (RM), Repayment Status
                  14,              359000,          850,                     126000,                 12,                  11043,                0
                  11,             3697000,          850,                     966000,                 36,                  30860,                1
                  12,             3347000,          850,                    1342000,                 24,                  61507,                1
                  13,             2318000,          850,                     724000,                 12,                  63389,                0
                   8,             1240000,          787,                     460000,                 36,                  14699,                1
                  18,             1197000,          850,                     325000,                 24,                  14890,                1
                   1,             3007000,          701,                    1180000,                 24,                  54100,                1
                  15,             3823000,          850,                    1643000,                 12,                 143760,                0
                   8,              360000,          850,                      57000,                 12,                   5000,                1
                  11,             2176000,          850,                     943000,                 24,                  43210,                1
                  12,             1321000,          790,                     418000,                 12,                  36547,                0
                  12,             3710000,          850,                    1624000,                 60,                  33840,                1
                   4,             4438000,          834,                    1209000,                 12,                 105828,                0
                  16,             3892000,          850,                     979000,                 24,                  44888,                1
                   4,             1065000,          850,                     497000,                 12,                  43444,                0
                   5,             4913000,          775,                     985000,                 24,                  45141,                1
                   5,             2364000,          850,                    1035000,                 60,                  21557,                1
                   8,             3454000,          850,                    1014000,                 12,                  88741,                0
                  10,             3316000,          811,                    1013000,                 60,                  21112,                1
                  17,             4622000,          850,                    1033000,                 24,                  47324,                1
                   9,             4255000,          850,                    1401000,                 36,                  44748,                1
                  19,             3392000,          850,                     780000,                 36,                  24929,                1
                  14,             4778000,          850,                     553000,                 48,                  13822,                1
                   8,             2666000,          843,                     557000,                 36,                  17780,                1
                   9,             4363000,          850,                     447000,                 36,                  14292,                1
                  11,             2032000,          850,                     999000,                 12,                  87371,                0
                   1,             1742000,          704,                     847000,                 12,                  74129,                0
                  14,             3464000,          850,                     894000,                 60,                  18621,                1
                   5,             3320000,          850,                    1299000,                 24,                  59553,                1
                  14,              265000,          850,                      63000,                 24,                   2898,                1
                   4,             2707000,          841,                     997000,                 36,                  31860,                1
                   1,             3375000,          788,                    1425000,                 24,                  65298,                1
                  19,             4636000,          850,                    2219000,                 60,                  46239,                1
                   8,             3644000,          837,                     948000,                 36,                  30275,                1
                  15,             4634000,          850,                    1915000,                 36,                  61187,                1
                  15,             2185000,          850,                     451000,                 48,                  11274,                1
                   9,             1797000,          850,                     891000,                 12,                  77994,                0
                   9,             4262000,          850,                     470000,                 24,                  21549,                1
                  10,             4280000,          850,                    1461000,                 24,                  66978,                1
                  20,             1295000,          850,                     471000,                 24,                  21586,                1
                   9,              284000,          830,                     106000,                 36,                   3401,                1
                   3,             4859000,          850,                     720000,                 60,                  14997,                1
                  20,             3785000,          850,                    1800000,                 24,                  82484,                0
                  11,             1633000,          850,                     282000,                 24,                  12910,                1
                   6,              776000,          829,                     271000,                 60,                   5646,                1
                   2,             1844000,          733,                     349000,                 24,                  15982,                1
